,Cód Cliente,Cliente,Fat/dia Jan-Mar 2026,Fat/dia Atual,Fat/dia Projetado,Δ vs Jan-Mar 2026 %,MC/dia Jan-Mar 2026,MC/dia Atual,MC/dia Projetada,Δ MC R$/dia,Δ MC %
7,I4352,FARIAS AUTO CENTER LTDA,50.11,0,0,-100,7.1,0,0,-7.1,
1,27566,WILMAR SOUSA DO NASCIMENTO ME,192.94,22.47,22.47,-88.35389240178294,7.69,1.08,1.0799999999999992,-6.610000000000001,-8.22387425648264e-14
6,I2964,GERLANDIA MARIA GOMES DA SILVA E CIA LTD,198.67,43.480000000000004,43.480000000000004,-78.11446116675894,25.689999999999998,5.529999999999999,5.53,-20.159999999999997,1.606109258047243e-14
10,I5901,BETO BATERIAS E AUTO ELETRICA LTDA,158.76999999999998,89.42,89.42,-43.67953643635447,19.849999999999998,13.629999999999999,13.63,-6.219999999999997,1.3032698748351067e-14
3,I2385,AUTO ELETRICA E ACESSORIOS TREVAO LTDA,172.12,106.22,106.22,-38.287241459446896,6.86,5.11,5.11,-1.75,0
9,I5022,DOMINGOS MINEIRO LTDA,400.55,275.2,275.2,-31.29447010360754,20.459999999999997,18.72,18.720000000000002,-1.7399999999999949,1.897817136111379e-14
5,I2621,SOPEL SO PECAS ELETRICAS LTDA,852.11,604.34,604.34,-29.077231812794125,74.00999999999999,65.09,65.09,-8.919999999999987,0
2,I2174,BATERPECAS BATERIAS E PECAS LTDA,371.41,270.19,270.19,-27.252901106593796,25.31,24.52,24.520000000000007,-0.789999999999992,2.89780887340987e-14
0,24165,AUTO ELETRICA QUIRINOPOLIS LTDA,577.53,476.16,476.16,-17.55233494363928,55.47,43.18,43.17999999999999,-12.290000000000006,-1.645536673830709e-14
4,I2391,J C GARUZI ME,220.54,183.01999999999998,183.01999999999998,-17.012786796046075,20.57,23.86,23.86,3.289999999999999,0
8,I4968,OESTE PECAS ELETRICAS LTDA,228.06,197.48,197.48,-13.408752082785236,24.44,22.62,22.619999999999997,-1.8200000000000038,-1.5706072850576924e-14
